filepath,label,category,source_id,duration,sample_rate,split
dataset/elephant/trumpet/Trumpet15.wav,1,elephant,Trumpet15,6.0,44100,train
dataset/elephant/rumble/Rumble57.wav,1,elephant,Rumble57,6.0,44100,train
dataset/elephant/roar/Roar08.wav,1,elephant,Roar08,6.0,44100,train
dataset/elephant/rumble/Rumble55.wav,1,elephant,Rumble55,6.0,44100,train
dataset/elephant/roar/Roar46.wav,1,elephant,Roar46,6.0,44100,train
dataset/elephant/trumpet/Trumpet106.wav,1,elephant,Trumpet106,6.0,44100,train
dataset/elephant/trumpet/Trumpet22.wav,1,elephant,Trumpet22,6.0,44100,train
dataset/elephant/roar/Roar75.wav,1,elephant,Roar75,6.0,48000,train
dataset/elephant/trumpet/Trumpet16.wav,1,elephant,Trumpet16,6.0,44100,train
dataset/elephant/trumpet/Trumpet107.wav,1,elephant,Trumpet107,6.0,44100,train
dataset/elephant/trumpet/Trumpet07.wav,1,elephant,Trumpet07,6.0,44100,train
dataset/elephant/roar/Roar22_aug_0.wav,1,elephant,Roar22_aug_0,6.0,48000,train
dataset/elephant/rumble/Rumble17.wav,1,elephant,Rumble17,6.0,44100,train
dataset/elephant/rumble/Rumble14.wav,1,elephant,Rumble14,6.0,44100,train
dataset/elephant/trumpet/Trumpet06_aug_0.wav,1,elephant,Trumpet06_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet36_aug_0.wav,1,elephant,Trumpet36_aug_0,6.0,44100,train
dataset/elephant/rumble/Rumble70.wav,1,elephant,Rumble70,6.0,44100,train
dataset/elephant/rumble/Rumble16.wav,1,elephant,Rumble16,6.0,44100,train
dataset/elephant/rumble/Rumble63.wav,1,elephant,Rumble63,6.0,44100,train
dataset/elephant/rumble/Rumble15.wav,1,elephant,Rumble15,6.0,44100,train
dataset/elephant/trumpet/Trumpet13_aug_0.wav,1,elephant,Trumpet13_aug_0,6.0,44100,train
dataset/elephant/roar/Roar03.wav,1,elephant,Roar03,6.0,44100,train
dataset/elephant/roar/Roar54.wav,1,elephant,Roar54,6.0,44100,train
dataset/elephant/roar/Roar55.wav,1,elephant,Roar55,6.0,44100,train
dataset/elephant/trumpet/Trumpet40.wav,1,elephant,Trumpet40,6.0,44100,train
dataset/elephant/roar/Roar72.wav,1,elephant,Roar72,6.0,44100,train
dataset/elephant/rumble/Rumble27.wav,1,elephant,Rumble27,6.0,44100,train
dataset/elephant/rumble/Rumble01.wav,1,elephant,Rumble01,6.0,44100,train
dataset/elephant/rumble/Rumble13.wav,1,elephant,Rumble13,6.0,44100,train
dataset/elephant/roar/Roar60.wav,1,elephant,Roar60,6.0,44100,train
dataset/elephant/roar/Roar15.wav,1,elephant,Roar15,6.0,44100,train
dataset/elephant/rumble/Rumble56.wav,1,elephant,Rumble56,6.0,44100,train
dataset/elephant/rumble/Rumble109.wav,1,elephant,Rumble109,6.0,44100,train
dataset/elephant/roar/Roar101.wav,1,elephant,Roar101,6.0,44100,train
dataset/elephant/roar/Roar39.wav,1,elephant,Roar39,6.0,44100,train
dataset/elephant/roar/Roar66.wav,1,elephant,Roar66,6.0,44100,train
dataset/elephant/roar/Roar21_aug_0.wav,1,elephant,Roar21_aug_0,6.0,48000,train
dataset/elephant/rumble/Rumble24.wav,1,elephant,Rumble24,6.0,44100,train
dataset/elephant/rumble/Rumble45.wav,1,elephant,Rumble45,6.0,44100,train
dataset/elephant/roar/Roar09.wav,1,elephant,Roar09,6.0,44100,train
dataset/elephant/trumpet/Trumpet39.wav,1,elephant,Trumpet39,6.0,44100,train
dataset/elephant/roar/Roar23.wav,1,elephant,Roar23,6.0,44100,train
dataset/elephant/roar/Roar36.wav,1,elephant,Roar36,6.0,44100,train
dataset/elephant/roar/Roar38.wav,1,elephant,Roar38,6.0,44100,train
dataset/elephant/rumble/Rumble103.wav,1,elephant,Rumble103,6.0,44100,train
dataset/elephant/rumble/Rumble02.wav,1,elephant,Rumble02,6.0,44100,train
dataset/elephant/roar/Roar04.wav,1,elephant,Roar04,6.0,44100,train
dataset/elephant/rumble/Rumble29.wav,1,elephant,Rumble29,6.0,44100,train
dataset/elephant/trumpet/Trumpet30_aug_0.wav,1,elephant,Trumpet30_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet25_aug_0.wav,1,elephant,Trumpet25_aug_0,6.0,44100,train
dataset/elephant/roar/Roar05.wav,1,elephant,Roar05,6.0,44100,train
dataset/elephant/rumble/Rumble32.wav,1,elephant,Rumble32,6.0,44100,train
dataset/elephant/rumble/Rumble105.wav,1,elephant,Rumble105,6.0,44100,train
dataset/elephant/roar/Roar03_aug_0.wav,1,elephant,Roar03_aug_0,6.0,44100,train
dataset/elephant/roar/Roar104.wav,1,elephant,Roar104,6.0,44100,train
dataset/elephant/trumpet/Trumpet110.wav,1,elephant,Trumpet110,6.0,44100,train
dataset/elephant/rumble/Rumble19.wav,1,elephant,Rumble19,6.0,44100,train
dataset/elephant/trumpet/Trumpet25.wav,1,elephant,Trumpet25,6.0,44100,train
dataset/elephant/trumpet/Trumpet27.wav,1,elephant,Trumpet27,6.0,44100,train
dataset/elephant/trumpet/Trumpet38.wav,1,elephant,Trumpet38,6.0,44100,train
dataset/elephant/rumble/Rumble67.wav,1,elephant,Rumble67,6.0,44100,train
dataset/elephant/trumpet/Trumpet33.wav,1,elephant,Trumpet33,6.0,44100,train
dataset/elephant/rumble/Rumble66.wav,1,elephant,Rumble66,6.0,44100,train
dataset/elephant/rumble/Rumble60.wav,1,elephant,Rumble60,6.0,44100,train
dataset/elephant/rumble/Rumble59.wav,1,elephant,Rumble59,6.0,44100,train
dataset/elephant/roar/Roar71.wav,1,elephant,Roar71,6.0,44100,train
dataset/elephant/roar/Roar73.wav,1,elephant,Roar73,6.0,44100,train
dataset/elephant/roar/Roar41.wav,1,elephant,Roar41,6.0,44100,train
dataset/elephant/rumble/Rumble11.wav,1,elephant,Rumble11,6.0,44100,train
dataset/elephant/trumpet/Trumpet01.wav,1,elephant,Trumpet01,6.0,48000,train
dataset/elephant/roar/Roar67.wav,1,elephant,Roar67,6.0,44100,train
dataset/elephant/roar/Roar32.wav,1,elephant,Roar32,6.0,44100,train
dataset/elephant/roar/Roar102.wav,1,elephant,Roar102,6.0,44100,train
dataset/elephant/trumpet/Trumpet08.wav,1,elephant,Trumpet08,6.0,44100,train
dataset/elephant/trumpet/Trumpet35_aug_0.wav,1,elephant,Trumpet35_aug_0,6.0,44100,train
dataset/elephant/roar/Roar58.wav,1,elephant,Roar58,6.0,44100,train
dataset/elephant/rumble/Rumble25.wav,1,elephant,Rumble25,6.0,44100,train
dataset/elephant/roar/Roar01.wav,1,elephant,Roar01,6.0,44100,train
dataset/elephant/rumble/Rumble51.wav,1,elephant,Rumble51,6.0,44100,train
dataset/elephant/rumble/Rumble108.wav,1,elephant,Rumble108,6.0,44100,train
dataset/elephant/trumpet/Trumpet13.wav,1,elephant,Trumpet13,6.0,44100,train
dataset/elephant/roar/Roar31.wav,1,elephant,Roar31,6.0,44100,train
dataset/elephant/trumpet/Trumpet105.wav,1,elephant,Trumpet105,6.0,44100,train
dataset/elephant/trumpet/Trumpet35.wav,1,elephant,Trumpet35,6.0,44100,train
dataset/elephant/roar/Roar76.wav,1,elephant,Roar76,6.0,48000,train
dataset/elephant/roar/Roar28.wav,1,elephant,Roar28,6.0,44100,train
dataset/elephant/rumble/Rumble26.wav,1,elephant,Rumble26,6.0,44100,train
dataset/elephant/rumble/Rumble06.wav,1,elephant,Rumble06,6.0,44100,train
dataset/elephant/rumble/Rumble110.wav,1,elephant,Rumble110,6.0,44100,train
dataset/elephant/trumpet/Trumpet23_aug_0.wav,1,elephant,Trumpet23_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet18_aug_0.wav,1,elephant,Trumpet18_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet41.wav,1,elephant,Trumpet41,6.0,44100,train
dataset/elephant/roar/Roar26.wav,1,elephant,Roar26,6.0,48000,train
dataset/elephant/rumble/Rumble35.wav,1,elephant,Rumble35,6.0,44100,train
dataset/elephant/trumpet/Trumpet45.wav,1,elephant,Trumpet45,6.0,44100,train
dataset/elephant/rumble/Rumble104.wav,1,elephant,Rumble104,6.0,48000,train
dataset/elephant/roar/Roar42.wav,1,elephant,Roar42,6.0,44100,train
dataset/elephant/trumpet/Trumpet05_aug_0.wav,1,elephant,Trumpet05_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet23.wav,1,elephant,Trumpet23,6.0,44100,train
dataset/elephant/roar/Roar70.wav,1,elephant,Roar70,6.0,44100,train
dataset/elephant/trumpet/Trumpet06.wav,1,elephant,Trumpet06,6.0,44100,train
dataset/elephant/trumpet/Trumpet18.wav,1,elephant,Trumpet18,6.0,44100,train
dataset/elephant/rumble/Rumble34.wav,1,elephant,Rumble34,6.0,44100,train
dataset/elephant/trumpet/Trumpet02_aug_0.wav,1,elephant,Trumpet02_aug_0,6.0,44100,train
dataset/elephant/rumble/Rumble42.wav,1,elephant,Rumble42,6.0,44100,train
dataset/elephant/roar/Roar13.wav,1,elephant,Roar13,6.0,44100,train
dataset/elephant/trumpet/Trumpet08_aug_0.wav,1,elephant,Trumpet08_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet28.wav,1,elephant,Trumpet28,6.0,44100,train
dataset/elephant/trumpet/Trumpet09_aug_0.wav,1,elephant,Trumpet09_aug_0,6.0,44100,train
dataset/elephant/trumpet/Trumpet04.wav,1,elephant,Trumpet04,6.0,24000,train
dataset/elephant/roar/Roar57.wav,1,elephant,Roar57,6.0,44100,train
dataset/elephant/roar/Roar59.wav,1,elephant,Roar59,6.0,44100,train
dataset/elephant/rumble/Rumble30.wav,1,elephant,Rumble30,6.0,44100,train
dataset/elephant/trumpet/Trumpet44.wav,1,elephant,Trumpet44,6.0,44100,train
dataset/elephant/roar/Roar40.wav,1,elephant,Roar40,6.0,44100,train
dataset/elephant/roar/Roar45.wav,1,elephant,Roar45,6.0,44100,train
dataset/elephant/rumble/Rumble23.wav,1,elephant,Rumble23,6.0,44100,train
dataset/elephant/trumpet/Trumpet20_aug_0.wav,1,elephant,Trumpet20_aug_0,6.0,44100,train
